[ファイル名] iconSkill.smi
[色タイプ] ハイカラー
[総コマ数] 772コマ

コマ    幅      高さ   基準left  基準top
[   1]   34px,    34px,     0px,     0px
[ 665]   40px,    40px,     0px,     0px
[ 666]   40px,    40px,     0px,     0px
[ 667]   40px,    40px,     0px,     0px
[ 668]   40px,    40px,     0px,     0px
[ 669]   40px,    40px,     0px,     0px
[ 670]   40px,    40px,     0px,     0px
[ 671]   40px,    40px,     0px,     0px
[ 672]   40px,    40px,     0px,     0px
[ 673]   40px,    40px,     0px,     0px
[ 674]   40px,    40px,     0px,     0px
[ 675]   40px,    40px,     0px,     0px
[ 676]   40px,    40px,     0px,     0px
[ 677]   40px,    40px,     0px,     0px
[ 678]   40px,    40px,     0px,     0px
[ 679]   34px,    34px,     0px,     0px
[ 680]   34px,    34px,     0px,     0px
[ 681]   34px,    34px,     0px,     0px
[ 682]   34px,    34px,     0px,     0px
[ 683]   34px,    34px,     0px,     0px
[ 684]   34px,    34px,     0px,     0px
[ 685]   34px,    34px,     0px,     0px
[ 686]   34px,    34px,     0px,     0px
[ 687]   34px,    34px,     0px,     0px
[ 688]   34px,    34px,     0px,     0px
[ 689]   34px,    34px,     0px,     0px
[ 690]   34px,    34px,     0px,     0px
[ 691]   34px,    34px,     0px,     0px
[ 692]   34px,    34px,     0px,     0px
[ 693]   34px,    34px,     0px,     0px
[ 694]   34px,    34px,     0px,     0px
[ 695]   34px,    34px,     0px,     0px
[ 696]   34px,    34px,     0px,     0px
[ 697]   34px,    34px,     0px,     0px
[ 698]   34px,    34px,     0px,     0px
[ 699]   34px,    34px,     0px,     0px
[ 700]   34px,    34px,     0px,     0px
[ 701]   34px,    34px,     0px,     0px
[ 702]   34px,    34px,     0px,     0px
[ 703]   34px,    34px,     0px,     0px
[ 704]   34px,    34px,     0px,     0px
[ 705]   34px,    34px,     0px,     0px
[ 706]   34px,    34px,     0px,     0px
[ 707]   34px,    34px,     0px,     0px
[ 708]   34px,    34px,     0px,     0px
[ 709]   34px,    34px,     0px,     0px
[ 710]   34px,    34px,     0px,     0px
[ 711]   34px,    34px,     0px,     0px
[ 712]   34px,    34px,     0px,     0px
[ 713]   34px,    34px,     0px,     0px
[ 714]   34px,    34px,     0px,     0px
[ 715]   34px,    34px,     0px,     0px
[ 716]   34px,    34px,     0px,     0px
[ 717]   34px,    34px,     0px,     0px
[ 718]   34px,    34px,     0px,     0px
[ 719]   34px,    34px,     0px,     0px
[ 720]   34px,    34px,     0px,     0px
[ 721]   34px,    34px,     0px,     0px
[ 722]   34px,    34px,     0px,     0px
[ 723]   34px,    34px,     0px,     0px
[ 724]   34px,    34px,     0px,     0px
[ 725]   34px,    34px,     0px,     0px
[ 726]   34px,    34px,     0px,     0px
[ 727]   34px,    34px,     0px,     0px
[ 728]   34px,    34px,     0px,     0px
[ 729]   34px,    34px,     0px,     0px
[ 730]   34px,    34px,     0px,     0px
[ 731]   34px,    34px,     0px,     0px
[ 732]   34px,    34px,     0px,     0px
[ 733]   34px,    34px,     0px,     0px
[ 734]   34px,    34px,     0px,     0px
[ 735]   34px,    34px,     0px,     0px
[ 736]   34px,    34px,     0px,     0px
[ 737]   34px,    34px,     0px,     0px
[ 738]   34px,    34px,     0px,     0px
[ 739]   34px,    34px,     0px,     0px
[ 740]   34px,    34px,     0px,     0px
[ 741]   34px,    34px,     0px,     0px
[ 742]   34px,    34px,     0px,     0px
[ 743]   34px,    34px,     0px,     0px
[ 744]   34px,    34px,     0px,     0px
[ 745]   34px,    34px,     0px,     0px
[ 746]   34px,    34px,     0px,     0px
[ 747]   34px,    34px,     0px,     0px
[ 748]   34px,    34px,     0px,     0px
[ 749]   34px,    34px,     0px,     0px
[ 750]   34px,    34px,     0px,     0px
[ 751]   34px,    34px,     0px,     0px
[ 752]   34px,    34px,     0px,     0px
[ 753]   34px,    34px,     0px,     0px
[ 754]   34px,    34px,     0px,     0px
[ 755]   34px,    34px,     0px,     0px
[ 756]   34px,    34px,     0px,     0px
[ 757]   34px,    34px,     0px,     0px
[ 758]   34px,    34px,     0px,     0px
[ 759]   34px,    34px,     0px,     0px
[ 760]   34px,    34px,     0px,     0px
[ 761]   34px,    34px,     0px,     0px
[ 762]   34px,    34px,     0px,     0px
[ 763]   34px,    34px,     0px,     0px
[ 764]   34px,    34px,     0px,     0px
[ 765]   34px,    34px,     0px,     0px
[ 766]   34px,    34px,     0px,     0px
[ 767]   34px,    34px,     0px,     0px
[ 768]   34px,    34px,     0px,     0px
[ 769]   34px,    34px,     0px,     0px
[ 770]   34px,    34px,     0px,     0px
[ 771]   34px,    34px,     0px,     0px
[ 772]   34px,    34px,     0px,     0px
